±êÌâ,ÍÅ¹ºÊý,ÆÀ·Ö,ÆÀÂÛÊý,¹æ¸ñ,ÍÅ¹º¼Û¸ñ(Ôª),ÍÅ¹ºÄÚÈÝ,ÓÐÐ§ÆÚ,¿ÉÓÃÊ±¼ä,Ô¤Ô¼ËµÃ÷,ÎÂÜ°ÌáÊ¾
÷ÈÀöÅ®×ÓÎèµ¸¾ãÀÖ²¿,0,,,1·Ý,168,ÉÙ¶ù¿¨¿¨,2016Äê04ÔÂ18ÈÕÖÁ2017Äê12ÔÂ31ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
24Ð¡Ê±½Ó´ý","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼ÓâÆÚ±£Áô1Ìì",
ÐÂêÊÎèµ¸½¡Éí,10,5,1,1´Î,120,¾ôÊ¿ÎèÌåÑé¿¨,2015Äê04ÔÂ19ÈÕÖÁ2017Äê08ÔÂ20ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
09:30 - 21:30","ÇëÖÁÉÙÌáÇ°8Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",·þÎñÁ÷³Ì/Ê±³¤£ºµ¥¿Î³Ì1¸öÐ¡Ê±
ÐÄºÏè¤Ù¤,1,,,1´Î,100,¿ÕÖÐè¤Ù¤,2015Äê11ÔÂ07ÈÕÖÁ2017Äê08ÔÂ28ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 20:30","ÇëÖÁÉÙÌáÇ°2Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
ÐÄºÏè¤Ù¤,17,5,2,1´Î,128,è¤Ù¤,2015Äê08ÔÂ13ÈÕÖÁ2017Äê08ÔÂ23ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 20:30","ÇëÖÁÉÙÌáÇ°12Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",-´Ëè¤Ù¤ÎªÖÜ¿¨è¤Ù¤£¬Ñ§Ï°Ê±¼äÎªÒ»ÖÜ-¿Î³Ì°²ÅÅ£ºÔ¤Ô¼ºóËæµ½ËæÉÏ-±¾µ¥¿É·Ö¶à´ÎÉÏ¿Î£¬¶à´Î¿Î³ÌÖÐ¼ä²»¿ÉÍ£¿Î-²»¿ÉÒÔ×ª°à-ÐèÑ§Ï°Í¬Ò»¿Î³Ì£¬²»¿É×ª½èËûÈË£¬½öÏÞ±¾ÈËÊ¹ÓÃ
öÎíµ_ÎÄÌå,0,,,1¸ö,89,Î¨Ó®WD-859Ìú·ÖÌåÓðÅÄ,2016Äê11ÔÂ13ÈÕÖÁ2018Äê01ÔÂ01ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 20:00",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,
¹ØÀÚÎèµ¸¹¤×÷ÊÒ,1,,,1ÕÅ,150,³ÉÈËÀ­¶¡ÎèÈý´ÎÌåÑé¿¨,2017Äê01ÔÂ16ÈÕÖÁ2018Äê01ÔÂ18ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 21:00","ÇëÖÁÉÙÌáÇ°1Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
Ö§µã×ÀÇòË½ÈËÓ°Ôº¾ãÀÖ²¿,80,4.8,17,1·Ý,48,2Ð¡Ê±³©Íæ,2015Äê05ÔÂ19ÈÕÖÁ2017Äê08ÔÂ20ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
24Ð¡Ê±½Ó´ý","ÇëÖÁÉÙÌáÇ°1Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
¾ÛÓÑ×ÀÇò»áËù(µç×ÓÕý½Öµê),87,4,5,1·Ý,44,ÆÕÍ¨ºÚ°Ë2Ð¡Ê±Ì×²Í,2016Äê06ÔÂ12ÈÕÖÁ2017Äê08ÔÂ09ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
24Ð¡Ê±½Ó´ý",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,ÅäÓÐÈ«ÐÂ×ÀÇò°¸¡£»¶Ó­ÄãµÄ¹âÁÙ£¡
HelloÎèµ¸,38,,,2´Î,120,ÌåÑé¿¨,,,,
°¬ÆÕè¤Ù¤¾ãÀÖ²¿,3,,,1½Ú,40,è¤Ù¤´Î¿¨ÌåÑé¿Î,2016Äê11ÔÂ16ÈÕÖÁ2017Äê12ÔÂ12ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
07:00 - 20:30","ÇëÖÁÉÙÌáÇ°6Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼ÓâÆÚ±£Áô1Ìì",½¡Éí·ç±©À´Ï®£¬Äã»¹ÔÚÎªÃ»ÓÐºÏÊÊµÄ¶ÍÁ¶·½Ê½¶ø·¢³îÂð£¿°¬ÆÕ½¡Éí¾ãÀÖ²¿£º      Ò»ÌìÔçÖÐÍí¶¼ÓÐ¿Î³Ì°²ÅÅ£¬Ôç7µã³¿Á·¿ÎÊÇÎÒÃÇ°¬ÆÕè¤Ù¤µÄÒ»´óÌØÉ«£¬Ò»°ãÎªÏ°Á·¶àÄêµÄÀÏ»áÔ±¡£ÆäËûÊ±¼ä¶ÎÊÇ»áÔ±Ô¤Ô¼¿Î£¬Ô¼¹»5ÈË¼´¿Î¿ª¿Î¡£È«ÊÇ¾«Æ·Ð¡°à¿Î£¬´ó¼ÒÌÍ»áÔ±µÄÇ®£¬ÏíÊÜË½½ÌµÄ´ýÓö£¬Í¬Ê±£¬Ã¿½Ú¿Î¿ÎÊ±×îÉÙ1Ð¡Ê±20·ÖÖÓ£¨Ò»°ã²Ù·¿45·ÖÖÓ¡£ÊÇÆäËû½¡Éí·¿ÎÞ·¨±ÈÄâµÄ£©¡£Ò»   ÓÉ±åÇå£¬ÍõÞ±£¬»ÆÐ¡Ò¶ÀÏÊ¦×é³ÉµÄ×¨ÒµµÄ½ÌÁ·ÍÅ¶Ó£¬ÎªÄãÁ¿Éí¶¨×ö½¡Éí¼Æ»®£¡¶þ   ¿Æ.Ñ§µÄ¶ÍÁ¶·½Ê½£¬ÈÃÏ²»¶ÔË¶¯µÄÄã£¬ÔÚÓÐ.Ð§µÄÊ±¼äÄÚÓµÓÐ°ÁÈËÉí²Ä£¡      ¡°¶¯ÈçÍÑÍÃ£¬¾²Èç´¦×Ó¡±      ÔÚÆÕÀ­ÌáµÄ¶¯¸ÐÖÐ£¬Ìå»áÐÄÌø¡¢¼áÈÍ£¬ÎÈ¶¨£¬¾«×¼¼°Á¦Á¿´ø¸øÉíÌåµÄ±ä»¯£¡      ÔÚè¤Ù¤µÄÀ­ÉìÖÐ£¬Ìå»áÆ½¾²¡¢ÏéºÍ£¬Ë³Î»£¬ÑÓÕ¹¼°ÈáÈÍÓëÐÄÁéµÄÍê.ÃÀ¹µÍ¨£¡      ²»Í¬¶ÍÁ¶·½Ê½µÄÓÐ.Ð§½áºÏ£¬ÈÃÄãÕæÕýµÄÌå»áµ½ÉíµÄ±ä»¯ÓëÐÄµÄÓäÔÃ£¡       Òà¶¯Òà¾²£¬ÒàÈáÒàÇ¿£¬ÄÚÍâ¼æÐÞ£¬¡°°¬ÆÕ¡±ÓëÄãÍ¬ÔÚ£¡       °®ÉÏ½¡Éí£¬°®ÉÏ¶ÍÁ¶£¬°®lÉÏ°¬ÆÕ£¡       ¿ì¿ìÐÐ¶¯°É£¬¡°°¬ÆÕ¡±ÓëÄã²»¼û²»É¢£¡
¾ÅÊÇè¤Ù¤,0,,,1´Î,39.9,ÖÜ¶þ³¿Á·,2016Äê11ÔÂ15ÈÕÖÁ2019Äê11ÔÂ11ÈÕ,"Ã¿ÖÜÒ»¡¢Èý¡¢ËÄ¡¢Îå¡¢Áù¡¢ÈÕ²»¿ÉÊ¹ÓÃ
09:00 - 21:00","ÇëÖÁÉÙÌáÇ°3Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼ÓâÆÚ±£Áô30·ÖÖÓ",
çôÔÃè¤Ù¤Éú»î¹Ý,34,5,3,3´Î,42,è¤Ù¤Îèµ¸¿¨,2015Äê05ÔÂ31ÈÕÖÁ2017Äê08ÔÂ27ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
07:00 - 19:30","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",¿Î³Ì°²ÅÅ£º¸ù¾Ý¿Î³Ì°²ÅÅÉÏ¿Î£¨Ò»´ÎÔ¼60·ÖÖÓ£©¿ÉÒÔÑ¡Ôñ²»Í¬¿Î³Ì£¬²»¿É×ª½èËûÈË£¬½öÏÞ±¾ÈËÊ¹ÓÃÃâ·ÑÌá¹©µÄ¿Î³Ì¸¨ÖúÓÃÆ·ÓÐè¤Ù¤µæ¡¢è¤Ù¤Ìº
ò¯ÐÄè¤Ù¤,2,,,,,,2016Äê09ÔÂ08ÈÕÖÁ2017Äê10ÔÂ01ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
09:00 - 21:00",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,
×ÏÝ¼»¨Îèµ¸ÅàÑµÖÐÐÄ,0,,,1·Ý,60,µ¥ÈËÌåÑé¾ôÊ¿ÎèÖÜ¿¨,2017Äê01ÔÂ02ÈÕÖÁ2018Äê01ÔÂ03ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
00:00 - 01:00","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
×ÏÝ¼»¨Îèµ¸ÅàÑµÖÐÐÄ,0,,,1·Ý,60,ÉÙ¶ùÎèµ¸,2017Äê01ÔÂ02ÈÕÖÁ2018Äê01ÔÂ05ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
00:10 - 23:00","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
°®ÉÐ×ÀÇò,64,4.4,7,2Ð¡Ê±,40,×ÀÇò,2016Äê04ÔÂ20ÈÕÖÁ2017Äê08ÔÂ16ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 17:00",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,¸ÄÌ×²Í½öÏÞ17:00ÒÔÇ°Ê¹ÓÃ£¡
°®¶¯ÀºÇò×ãÇòÔË¶¯ÖÐÐÄ,7,,,1Ð¡Ê±,25,ÀºÇòÉ¢³¡£¨µ¥ÈË£©,2016Äê11ÔÂ03ÈÕÖÁ2018Äê04ÔÂ28ÈÕ,"·¨¶¨½Ú¼ÙÈÕµ±Ìì²»¿ÉÊ¹ÓÃ
09:00 - 21:00","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
ÔÆ²Ê°ü×°,0,,,1ÕÅ,100,´ú½ðÈ¯,2016Äê09ÔÂ13ÈÕÖÁ2017Äê09ÔÂ15ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
24Ð¡Ê±½Ó´ý","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼£¬ÏÂµ¥Ö®Ç°ºÍÉÌ¼Ò¹µÍ¨
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",ÏÂµ¥Ö®Ç°Ò»¶¨ÏÈºÍÉÌ¼ÒÈ·ÈÏ²ÅÄÜÏÂµ¥
èóÓïè¤Ù¤»á¹Ý,6,,,1·Ý,100,è¤Ù¤ÌåÑéÌ×²Í,2016Äê08ÔÂ31ÈÕÖÁ2017Äê09ÔÂ03ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 21:00","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
ËØÐÄ¡¤Á«è¤Ù¤¹Ý,1,,,1ÕÅ,98,ËØÐÄÁ«è¤Ù¤µ¥´ÎÌåÑé¿¨,2016Äê12ÔÂ06ÈÕÖÁ2017Äê12ÔÂ31ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
09:00 - 20:30","ÇëÖÁÉÙÌáÇ°2Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼ÓâÆÚ±£Áô1Ìì",
ÐÂÔóÎ÷ÀºÇòÓðÃ«Çò¹Ý,0,,,1·Ý,80,Æ¹ÅÒÇòµ¥Ì¨·þÎñ,2017Äê05ÔÂ16ÈÕÖÁ2018Äê07ÔÂ14ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
08:00 - 22:00","ÇëÖÁÉÙÌáÇ°24Ð¡Ê±Ô¤Ô¼£¬ÈçÐèÔ¤Ô¼±£Áô£¬ÏêÇéÀ´µç×ÉÑ¯£¡
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",Ê¹ÓÃ³¡µØÊ±¼ä2Ð¡Ê±Ô¤Ô¼Ê±¼äÇë×¼Ê±¹ýÀ´Ê¹ÓÃÃâ·ÑÍ£³µÎ»¿ÉËæÒâÊ¹ÓÃ
æ¿¾²è¤Ù¤º£ÒÝ»á¹Ý,33,5,7,1ÕÅ/2´Î,66,ÌåÑé¿¨,2015Äê06ÔÂ24ÈÕÖÁ2017Äê09ÔÂ12ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
11:30 - 21:00",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,Ê¹ÓÃ¹æÔò£ºÔÚÓÐÐ§ÆÚÄÚµ½µêÄÚ»»´Î¿¨£¬ ´Î¿¨µÄÓÐÐ§ÆÚ×Ô»»Ö®ÈÕÆð7Ìì¿Î³Ì°²ÅÅ£º¸ù¾Ý¿Î³Ì°²ÅÅÉÏ¿Î£¨Ò»´ÎÔ¼80·ÖÖÓ£©
»ªÊ¢ÓÎÓ¾¹Ý,1,,,1Î»,60,è¤Ù¤ÌåÑé¿Î,2016Äê10ÔÂ15ÈÕÖÁ2017Äê10ÔÂ16ÈÕ,"Ã¿ÖÜÈý¡¢Áù¡¢ÈÕÃ¿ÖÜ ÖÜÈý ÖÜÁù ÖÜÌì ·½¿ÉÊ¹ÓÃ
18:30 - 19:30","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
ÐÄºÏè¤Ù¤,2,,,1´Î,60,Ó¡¶ÈÍâ½Ìè¤Ù¤¿ÎÌåÑé,2015Äê11ÔÂ06ÈÕÖÁ2017Äê08ÔÂ28ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 20:30","ÇëÖÁÉÙÌáÇ°2Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
·çÔÆè¤Ù¤Çú½­»á¹Ý(Î÷Ó°Â·µê),33,5,2,1ÕÅ£¨7Ìì£©,89,è¤Ù¤ÖÜ¿¨,2015Äê11ÔÂ08ÈÕÖÁ2017Äê09ÔÂ23ÈÕ,"2016.2.7-2016.2.14²»¿ÉÊ¹ÓÃ¡£
10:00 - 18:00",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,·þÎñÁ÷³Ì/Ê±³¤£º³ý±¾¹Ýè¤Ù¤Ë½½Ì°à£¬è¤Ù¤½ÌÁ·°à£¬è¤Ù¤µ¼Ê¦°à¼°è¤Ù¤¹«Òæ³¿Á·ºÍè¤Ù¤»§Íâ³¿Á·ÒÔÍâ£¬²»ÏÞ´ÎÊý¾ù¿ÉÏíÓÃÒÔÏÂ¿Î³Ì £º    ¹þËûè¤Ù¤£¬Á÷è¤Ù¤£¬Òõè¤Ù¤£¬°¢Ë¹ÌÀÙ¤£¬ÀíÁÆè¤Ù¤£¬¸ßÎÂè¤Ù¤£¬ÊÝÉíè¤Ù¤£¬ºËÐÄè¤Ù¤£¬ÄÜÁ¿Á÷è¤Ù¤£¬¶ÇÆ¤Îè£¬ÎèÔÏè¤Ù¤£¬ÆÕÀ­Ìá¿Î³Ì¡£    ²ÎÓëè¤Ù¤½ÌÁ·°à£¬è¤Ù¤ÊîÆÚ½ÌÁ·°à¼°è¤Ù¤µ¼Ê¦°à£¬ÐèÒªÁíÍâ²¹²î¼Û¡£
Ä«.yoga,6,,,1·Ý,50,è¤Ù¤µ¥´ÎÌåÑé¿¨,2015Äê11ÔÂ19ÈÕÖÁ2017Äê08ÔÂ21ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 20:00","ÇëÖÁÉÙÌáÇ°24Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",·þÎñÊ±³¤£ºÈ«³Ì60·ÖÖÓ
èóÖ®Òôè¤Ù¤,2,5,1,1·Ý,50,ÄÐÊ¿è¤Ù¤ÌåÑé¿¨,2015Äê05ÔÂ12ÈÕÖÁ2017Äê09ÔÂ14ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
09:00 - 21:00£¬¾ßÌå¿Î³ÌÊ±¼ä£¬Çë×ÉÑ¯ÉÌ¼Ò","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",ÌåÑéÄÚÈÝ£ºÒ»½Ú¿Î
æ¿¾²è¤Ù¤(Íò¿Æ»á¹Ýµê),2,,,1ÕÅ,60,ÌåÑé¿¨,2016Äê12ÔÂ30ÈÕÖÁ2018Äê01ÔÂ08ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
09:00 - 20:00","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
ALè¤Ù¤ÆÕÀ­Ìá,0,,,1·Ý,99,µ¥ÈËè¤Ù¤2´ÎÌåÑé¿¨,2017Äê07ÔÂ17ÈÕÖÁ2018Äê05ÔÂ26ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
11:00 - 18:00","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
¿üÊ¦ÄÇè¤Ù¤¹Ý(·ï°Ëµê),12,5,1,3´Î,99,ÌåÑé¿¨,2015Äê07ÔÂ29ÈÕÖÁ2017Äê12ÔÂ01ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
11:00 - 20:30","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",½öÏÞµ¥´ÎÊ¹ÓÃ
ì÷Óñ¶«·½Îè(ÄÏÉÔÃÅµê),1,,,1´Î,60,µ¥´ÎÌåÑé¿¨,2015Äê11ÔÂ05ÈÕÖÁ2017Äê09ÔÂ11ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 21:00","ÇëÖÁÉÙÌáÇ°3Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",¿ÉÌåÑéÏîÄ¿£º¶ÇÆ¤Îè£¬è¤çì£¬¾ôÊ¿¿Î
ÃÖÉÐè¤Ù¤,3,,,,,,2017Äê08ÔÂ01ÈÕÖÁ2018Äê08ÔÂ02ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
11:00 - 19:00","ÇëÖÁÉÙÌáÇ°2Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
Çåãåè¤Ù¤,0,,,1·Ý,98,Çåãåè¤Ù¤ÌåÑé¿Î£¨3´Î£©,2016Äê08ÔÂ03ÈÕÖÁ2017Äê09ÔÂ03ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
11:00 - 21:30",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,°üº¬ÏîÄ¿:Á÷è¤Ù¤£¬Èýè¤Ù¤£¬Òõè¤Ù¤£¬ËÙÊÝè¤Ù¤£¬ÀíÁÆè¤Ù¤£¬¹þËûè¤Ù¤£¬°¬Ñï¸ñè¤Ù¤£¬ÆÕÀ­Ìá£¬¶ÇÆ¤Îè
èóÔÃè¤Ù¤,1,,,1·Ý,68,³¬ÖµÌåÑéµ¥ÈËÌ×²Í,2017Äê07ÔÂ05ÈÕÖÁ2020Äê07ÔÂ04ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
08:30 - 20:30","ÇëÖÁÉÙÌáÇ°2Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
Ù¤×åè¤Ù¤,2,,,1´Î,98,è¤Ù¤ÌåÑé,2015Äê11ÔÂ17ÈÕÖÁ2017Äê09ÔÂ11ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:30 - 18:30",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,ÌåÑé¿¨µ¥´ÎÊ±³¤ÏÞÖÆ£º²»ÏÞ
·ïÆÜÍ©è¤Ù¤»áËù,7,5,1,1ÕÅ,90,è¤Ù¤ÌåÑé¿¨1ÕÅ£¬ÌåÑé3´Î,2016Äê04ÔÂ22ÈÕÖÁ2018Äê01ÔÂ01ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
11:30 - 21:00",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,
¹Û×ÔÔÚè¤Ù¤,1,,,1´Î,50,µ¥´ÎÌåÑé,2016Äê04ÔÂ12ÈÕÖÁ2017Äê08ÔÂ08ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 21:00","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
ÄßÑÅè¤Ù¤,6,5,2,1·Ý,60,ÄßÑÅè¤Ù¤ÌåÑé¿Î,2017Äê04ÔÂ27ÈÕÖÁ2018Äê05ÔÂ01ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
08:00 - 20:00","ÇëÖÁÉÙÌáÇ°2Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼ÓâÆÚ±£Áô1Ìì",
Çåãåè¤Ù¤,23,4,4,1·Ý,98,ÖÜ¿¨ÌåÑéÌ×²Í,2016Äê04ÔÂ26ÈÕÖÁ2017Äê09ÔÂ08ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
11:00 - 21:30",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,°üº¬ÏîÄ¿:Á÷è¤Ù¤£¬Èýè¤Ù¤£¬Òõè¤Ù¤£¬ËÙÊÝè¤Ù¤£¬ÀíÁÆè¤Ù¤£¬¹þËûè¤Ù¤£¬°¬Ñï¸ñè¤Ù¤£¬ÆÕÀ­Ìá£¬¶ÇÆ¤Îè
Ä«¶ûè¤Ù¤Éú»î¹Ý,14,5,5,1ÕÅ,88,3´ÎÌåÑé¿¨,2016Äê06ÔÂ12ÈÕÖÁ2017Äê09ÔÂ09ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:00 - 22:00","ÇëÖÁÉÙÌáÇ°1ÌìÔ¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
Ç§Óäè¤Ù¤¹Ý,7,5,3,1·Ý,56,è¤Ù¤ÌåÑé¿¨,2016Äê07ÔÂ02ÈÕÖÁ2017Äê11ÔÂ02ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
09:00 - 20:30","ÇëÖÁÉÙÌáÇ°2Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
èóÁé¡¤è¤Ù¤ÀíÁÆ»áËù,5,5,1,1´Î,89,è¤Ù¤3½ÚÌåÑé¿Î,2016Äê10ÔÂ19ÈÕÖÁ2017Äê12ÔÂ31ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
08:00 - 19:00","ÇëÖÁÉÙÌáÇ°1Ð¡Ê±Ô¤Ô¼
Ô¤Ô¼Î»ÓâÆÚ²»±£Áô£¬Çë×¼Ê±",
Ê®ÉÆè¤Ù¤,0,,,3´Î,99,è¤Ù¤´Î¿¨,2015Äê08ÔÂ25ÈÕÖÁ2017Äê09ÔÂ17ÈÕ,"ÖÜÄ©·¨¶¨½Ú¼ÙÈÕÍ¨ÓÃ
10:30 - 20:30",ÎÞÐèÔ¤Ô¼£¬Ö±½ÓÏû·Ñ£¨¸ß·åÆÚ¼äÏû·ÑÐèÅÅºÅµÈÎ»£©,·þÎñÁ÷³Ì/Ê±³¤£º45·ÖÖÓ/´Î
